,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,48,4,69,23,26,24,19,7,185
1,RF,2,220,23,84,99,31,63,39,5,135
2,RF,3,104,14,47,30,30,23,88,17,109
3,RF,4,55,11,55,43,11,28,43,9,116
4,RF,5,53,35,45,18,60,30,10,14,155
5,XGB,1,53,1,67,22,26,25,16,6,189
6,XGB,2,216,22,89,93,32,68,37,4,138
7,XGB,3,99,16,50,26,34,23,76,18,120
8,XGB,4,55,11,55,37,13,32,29,13,126
9,XGB,5,82,4,47,38,30,40,20,3,156
10,DT,1,76,0,45,61,0,12,86,0,125
11,DT,2,248,0,79,152,0,41,105,0,74
12,DT,3,90,0,75,50,0,33,74,0,140
13,DT,4,58,0,63,49,0,33,54,0,114
14,DT,5,83,0,50,63,0,45,32,0,147
