,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,20,0,17,12,5,9,12,1,62
1,RF,2,11,9,7,7,13,10,9,3,49
2,RF,3,30,2,17,35,2,7,17,3,42
3,RF,4,28,16,18,4,18,12,8,12,40
4,RF,5,36,43,25,3,35,13,8,8,48
5,XGB,1,19,2,16,12,6,8,14,2,59
6,XGB,2,14,7,6,5,13,12,13,1,47
7,XGB,3,31,2,16,32,6,6,17,3,42
8,XGB,4,30,9,23,11,7,16,9,4,47
9,XGB,5,41,29,34,10,24,17,5,4,55
10,DT,1,0,16,21,0,16,10,0,12,63
11,DT,2,16,0,11,16,0,14,13,0,48
12,DT,3,34,0,15,41,0,3,32,0,30
13,DT,4,17,12,33,3,14,17,7,15,38
14,DT,5,65,0,39,29,0,22,12,0,52
