,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,55,4,50,69,3,56,19,0,157
1,RF,2,198,59,167,46,35,111,0,0,196
2,RF,3,97,7,79,50,31,5,126,2,213
3,RF,4,69,0,49,40,1,21,46,0,204
4,RF,5,90,4,99,96,4,40,53,12,177
5,XGB,1,43,29,37,41,45,42,17,11,148
6,XGB,2,189,91,144,27,54,111,1,1,194
7,XGB,3,97,8,78,38,44,4,101,34,206
8,XGB,4,54,6,58,32,7,23,41,10,199
9,XGB,5,82,21,90,84,21,35,39,38,165
10,DT,1,41,0,68,62,0,66,23,0,153
11,DT,2,294,0,130,111,0,81,35,0,161
12,DT,3,158,0,25,82,0,4,219,0,122
13,DT,4,55,0,63,39,0,23,37,0,213
14,DT,5,85,13,95,102,6,32,41,7,194
