,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,27,24,33,12,29,11,8,39,147
1,RF,2,48,0,36,62,0,36,17,0,125
2,RF,3,73,12,83,38,23,30,21,12,109
3,RF,4,175,53,66,24,41,39,74,20,188
4,RF,5,104,0,68,70,5,49,7,1,195
5,XGB,1,44,3,37,31,7,14,27,12,155
6,XGB,2,34,17,33,28,37,33,15,13,114
7,XGB,3,71,6,91,42,18,31,22,11,109
8,XGB,4,182,67,45,18,61,25,85,50,147
9,XGB,5,109,3,60,62,13,49,4,5,194
10,DT,1,45,0,39,33,0,19,66,0,128
11,DT,2,16,0,68,16,0,82,5,0,137
12,DT,3,119,0,49,69,0,22,69,0,73
13,DT,4,0,194,100,0,64,40,0,112,170
14,DT,5,51,66,55,48,51,25,2,15,186
