,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
10,DT,1,0.4751,0.3187,0.3844,0.3395,0.4314,0.4751,0.4429,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.3043,0.549,0.3916,0.0,0.0,0.0,0.6517,0.6042,0.627,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.5269,0.3363,0.423,0.3733,0.4338,0.5269,0.4744,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.3816,0.5577,0.4531,0.0,0.0,0.0,0.6273,0.7113,0.6667,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.4048,0.535,0.4955,0.3978,0.6213,0.4048,0.3585,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': None, 'splitter': 'random'}",0.8462,0.131,0.2268,0.2515,0.56,0.3471,0.5072,0.7955,0.6195,,2.0,4.0,7.0,,,,,,,,,,entropy,random
13,DT,4,0.49,0.5021,0.4809,0.4815,0.5152,0.49,0.4927,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': None, 'splitter': 'best'}",0.3929,0.567,0.4641,0.4833,0.3718,0.4203,0.63,0.504,0.56,,2.0,17.0,3.0,,,,,,,,,,entropy,best
14,DT,5,0.5288,0.3518,0.5007,0.4132,0.3717,0.5288,0.4365,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.4574,0.6615,0.5409,0.0,0.0,0.0,0.5979,0.8406,0.6988,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.5447,0.4925,0.515,0.4884,0.5323,0.5447,0.5235,N/A,0.4967,0.5711,0.5166,0.3376,0.2415,0.2803,0.6434,0.7325,0.6683,,,,,,,,,,,,,,,
16,RF,STD,0.0639,0.0841,0.0521,0.0625,0.092,0.0639,0.0714,N/A,0.1527,0.0797,0.0719,0.2406,0.1727,0.2005,0.1071,0.1592,0.065,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5619,0.5542,0.5335,0.5253,0.5804,0.5619,0.5538,N/A,0.5087,0.5139,0.5014,0.5223,0.3286,0.3945,0.6315,0.7581,0.68,,,,,,,,,,,,,,,
18,XGB,STD,0.0746,0.0882,0.0638,0.0697,0.0716,0.0746,0.0714,N/A,0.1437,0.0865,0.0896,0.2102,0.1028,0.1253,0.0902,0.1124,0.054,,,,,,,,,,,,,,,
19,DT,MEAN,0.4851,0.4088,0.4569,0.4011,0.4747,0.4851,0.441,N/A,0.4765,0.4932,0.4153,0.147,0.1864,0.1535,0.6028,0.6911,0.6344,,,,,,,,,,,,,,,
20,DT,STD,0.0506,0.1016,0.051,0.0529,0.0966,0.0506,0.0515,N/A,0.2137,0.2075,0.118,0.2173,0.2637,0.2117,0.0568,0.138,0.0524,,,,,,,,,,,,,,,
