,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,87,10,12,77,3,48,67,4,105
1,RF,2,165,30,229,47,20,125,1,0,195
2,RF,3,96,5,82,54,24,8,139,12,190
3,RF,4,59,12,47,16,19,27,48,6,196
4,RF,5,124,4,65,87,6,47,79,5,158
5,XGB,1,75,10,24,68,10,50,52,3,121
6,XGB,2,150,27,247,52,2,138,1,0,195
7,XGB,3,104,16,63,51,23,12,131,34,176
8,XGB,4,60,13,45,16,23,23,42,5,203
9,XGB,5,111,8,74,77,14,49,70,9,163
10,DT,1,43,0,66,30,0,98,14,0,162
11,DT,2,83,59,282,26,29,137,1,0,195
12,DT,3,94,0,89,53,0,33,40,0,301
13,DT,4,58,0,60,35,0,27,33,0,217
14,DT,5,66,0,127,77,0,63,34,0,208
