,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,43,7,34,21,14,17,40,0,154
1,RF,2,65,9,10,63,1,34,59,0,83
2,RF,3,72,3,93,56,7,28,22,10,110
3,RF,4,206,31,57,23,42,39,90,31,161
4,RF,5,110,3,59,66,9,49,12,0,191
5,XGB,1,50,0,34,32,2,18,32,1,161
6,XGB,2,47,15,22,50,10,38,53,4,85
7,XGB,3,64,0,104,55,0,36,29,0,113
8,XGB,4,180,58,56,39,21,44,101,40,141
9,XGB,5,94,6,72,66,8,50,7,2,194
10,DT,1,68,0,16,38,0,14,117,0,77
11,DT,2,49,0,35,38,0,60,21,0,121
12,DT,3,58,0,110,49,0,42,31,0,111
13,DT,4,156,0,138,40,0,64,35,0,247
14,DT,5,73,0,99,56,0,68,9,0,194
