,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,7,7,f_classif,0.194
1,RF,2,25,25,f_classif,0.694
2,RF,3,10,10,f_classif,0.278
3,RF,4,all,36,f_classif,1.0
4,RF,5,7,7,f_classif,0.194
5,XGB,1,28,28,f_classif,0.778
6,XGB,2,all,36,f_classif,1.0
7,XGB,3,3,3,f_classif,0.083
8,XGB,4,18,18,f_classif,0.5
9,XGB,5,7,7,f_classif,0.194
10,DT,1,14,14,f_classif,0.389
11,DT,2,7,7,f_classif,0.194
12,DT,3,3,3,f_classif,0.083
13,DT,4,3,3,f_classif,0.083
14,DT,5,10,10,f_classif,0.278
