,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,636,105,351,149,142,328,106,11,965
1,RF,2,215,33,100,270,34,245,383,1,351
2,RF,3,572,41,510,332,46,393,27,0,742
3,RF,4,365,289,232,75,177,91,175,542,562
4,RF,5,505,0,451,152,74,173,74,0,891
5,XGB,1,712,131,249,140,178,301,194,10,878
6,XGB,2,215,35,98,249,47,253,305,26,404
7,XGB,3,591,50,482,329,60,382,29,0,740
8,XGB,4,444,86,356,154,104,85,403,207,669
9,XGB,5,542,56,358,130,117,152,76,45,844
10,DT,1,603,0,489,274,0,345,153,0,929
11,DT,2,194,33,121,282,27,240,264,12,459
12,DT,3,525,0,598,301,0,470,23,0,746
13,DT,4,223,0,663,190,0,153,360,0,919
14,DT,5,511,0,445,240,0,159,99,0,866
