,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,44,3,26,8,13,17,19,3,87
1,RF,2,53,28,23,22,35,25,27,15,51
2,RF,3,43,13,25,20,12,24,23,7,42
3,RF,4,56,27,21,13,17,11,30,48,49
4,RF,5,41,9,20,23,16,24,4,11,60
5,XGB,1,48,0,25,7,15,16,21,3,85
6,XGB,2,60,10,34,34,11,37,20,2,71
7,XGB,3,41,14,26,19,14,23,26,2,44
8,XGB,4,49,20,35,17,12,12,26,34,67
9,XGB,5,44,2,24,27,4,32,3,0,72
10,DT,1,14,0,59,16,0,22,6,0,103
11,DT,2,58,11,35,29,15,38,10,3,80
12,DT,3,24,21,36,18,11,27,12,3,57
13,DT,4,13,0,91,17,0,24,6,0,121
14,DT,5,28,0,42,24,0,39,0,0,75
