,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,27,1,28,11,10,12,7,1,90
1,RF,2,25,13,13,18,7,16,35,2,39
2,RF,3,43,4,38,48,6,15,29,9,34
3,RF,4,104,8,25,21,14,24,56,6,62
4,RF,5,36,29,20,4,29,24,10,2,92
5,XGB,1,26,2,28,6,14,13,14,5,79
6,XGB,2,30,8,13,18,3,20,28,2,46
7,XGB,3,30,3,52,48,3,18,22,8,42
8,XGB,4,89,16,32,16,17,26,44,12,68
9,XGB,5,52,13,20,8,20,29,11,2,91
10,DT,1,31,0,25,21,0,12,24,0,74
11,DT,2,19,0,32,16,0,25,9,0,67
12,DT,3,23,0,62,48,0,21,17,0,55
13,DT,4,39,21,77,11,12,36,5,9,110
14,DT,5,43,15,27,24,9,24,25,0,79
