,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,32,32,f_classif,0.889
1,RF,2,25,25,f_classif,0.694
2,RF,3,28,28,f_classif,0.778
3,RF,4,28,28,f_classif,0.778
4,RF,5,all,36,f_classif,1.0
5,XGB,1,32,32,f_classif,0.889
6,XGB,2,32,32,f_classif,0.889
7,XGB,3,32,32,f_classif,0.889
8,XGB,4,32,32,f_classif,0.889
9,XGB,5,all,36,f_classif,1.0
10,DT,1,25,25,f_classif,0.694
11,DT,2,25,25,f_classif,0.694
12,DT,3,3,3,f_classif,0.083
13,DT,4,18,18,f_classif,0.5
14,DT,5,14,14,f_classif,0.389
