,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,20,1,16,13,3,10,18,0,57
1,RF,2,13,4,10,8,7,15,15,1,45
2,RF,3,25,8,16,19,15,10,12,5,45
3,RF,4,36,12,14,9,13,12,19,10,31
4,RF,5,46,11,47,9,15,27,10,3,51
5,XGB,1,18,2,17,8,6,12,10,2,63
6,XGB,2,14,4,9,6,9,15,13,0,48
7,XGB,3,29,3,17,25,6,13,13,1,48
8,XGB,4,36,8,18,10,11,13,17,6,37
9,XGB,5,46,10,48,14,14,23,11,3,50
10,DT,1,16,0,21,13,0,13,7,0,68
11,DT,2,19,0,8,17,0,13,11,0,50
12,DT,3,16,6,27,18,7,19,6,1,55
13,DT,4,17,5,40,8,7,19,4,1,55
14,DT,5,44,3,57,25,2,24,12,1,51
