,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,26,3,20,5,14,9,2,4,90
1,RF,2,22,4,14,27,15,10,19,6,41
2,RF,3,45,23,45,8,17,30,7,0,54
3,RF,4,52,15,9,13,21,8,44,17,33
4,RF,5,25,3,18,10,6,17,16,4,34
5,XGB,1,28,0,21,17,0,11,2,0,94
6,XGB,2,23,1,16,36,3,13,19,0,47
7,XGB,3,45,14,54,9,13,33,4,1,56
8,XGB,4,52,5,19,17,17,8,46,6,42
9,XGB,5,27,3,16,13,2,18,18,3,33
10,DT,1,17,0,32,15,0,13,1,0,95
11,DT,2,21,0,19,29,0,23,17,0,49
12,DT,3,62,0,51,22,0,33,5,0,56
13,DT,4,47,0,29,32,0,10,41,0,53
14,DT,5,8,16,22,4,5,24,10,3,41
