,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,28,28,f_classif,0.778
1,RF,2,28,28,f_classif,0.778
2,RF,3,14,14,f_classif,0.389
3,RF,4,all,36,f_classif,1.0
4,RF,5,all,36,f_classif,1.0
5,XGB,1,25,25,f_classif,0.694
6,XGB,2,25,25,f_classif,0.694
7,XGB,3,all,36,f_classif,1.0
8,XGB,4,all,36,f_classif,1.0
9,XGB,5,all,36,f_classif,1.0
10,DT,1,25,25,f_classif,0.694
11,DT,2,7,7,f_classif,0.194
12,DT,3,3,3,f_classif,0.083
13,DT,4,25,25,f_classif,0.694
14,DT,5,25,25,f_classif,0.694
