,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,14,14,f_classif,0.389
1,RF,2,7,7,f_classif,0.194
2,RF,3,all,36,f_classif,1.0
3,RF,4,32,32,f_classif,0.889
4,RF,5,all,36,f_classif,1.0
5,XGB,1,14,14,f_classif,0.389
6,XGB,2,7,7,f_classif,0.194
7,XGB,3,32,32,f_classif,0.889
8,XGB,4,3,3,f_classif,0.083
9,XGB,5,all,36,f_classif,1.0
10,DT,1,25,25,f_classif,0.694
11,DT,2,7,7,f_classif,0.194
12,DT,3,18,18,f_classif,0.5
13,DT,4,10,10,f_classif,0.278
14,DT,5,18,18,f_classif,0.5
