,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,all,36,f_classif,1.0
1,RF,2,all,36,f_classif,1.0
2,RF,3,32,32,f_classif,0.889
3,RF,4,28,28,f_classif,0.778
4,RF,5,all,36,f_classif,1.0
5,XGB,1,all,36,f_classif,1.0
6,XGB,2,14,14,f_classif,0.389
7,XGB,3,10,10,f_classif,0.278
8,XGB,4,3,3,f_classif,0.083
9,XGB,5,32,32,f_classif,0.889
10,DT,1,3,3,f_classif,0.083
11,DT,2,18,18,f_classif,0.5
12,DT,3,25,25,f_classif,0.694
13,DT,4,3,3,f_classif,0.083
14,DT,5,14,14,f_classif,0.389
