,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,all,36,f_classif,1.0
1,RF,2,28,28,f_classif,0.778
2,RF,3,18,18,f_classif,0.5
3,RF,4,all,36,f_classif,1.0
4,RF,5,all,36,f_classif,1.0
5,XGB,1,all,36,f_classif,1.0
6,XGB,2,7,7,f_classif,0.194
7,XGB,3,3,3,f_classif,0.083
8,XGB,4,32,32,f_classif,0.889
9,XGB,5,all,36,f_classif,1.0
10,DT,1,3,3,f_classif,0.083
11,DT,2,7,7,f_classif,0.194
12,DT,3,28,28,f_classif,0.778
13,DT,4,3,3,f_classif,0.083
14,DT,5,3,3,f_classif,0.083
