,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,59,4,58,29,18,26,36,4,171
1,RF,2,155,20,152,64,17,112,5,0,174
2,RF,3,113,13,39,29,27,27,116,12,86
3,RF,4,60,10,51,31,7,44,30,9,129
4,RF,5,59,19,55,23,46,39,39,4,136
5,XGB,1,64,0,57,24,24,25,38,7,166
6,XGB,2,147,27,153,49,25,119,8,1,170
7,XGB,3,105,19,41,23,40,20,87,31,96
8,XGB,4,83,0,38,38,0,44,46,0,122
9,XGB,5,83,5,45,42,25,41,41,1,137
10,DT,1,14,0,107,31,0,42,10,0,201
11,DT,2,21,60,246,12,34,147,0,4,175
12,DT,3,121,14,30,48,9,26,115,8,91
13,DT,4,65,0,56,20,0,62,32,0,136
14,DT,5,45,6,82,50,6,52,5,3,171
