,Model,Fold,CM_post-void_pred_post-void,CM_post-void_pred_pre-void,CM_post-void_pred_void,CM_pre-void_pred_post-void,CM_pre-void_pred_pre-void,CM_pre-void_pred_void,CM_void_pred_post-void,CM_void_pred_pre-void,CM_void_pred_void
0,RF,1,34,1,33,37,12,31,8,1,120
1,RF,2,30,14,12,22,9,26,19,4,68
2,RF,3,42,34,59,20,15,19,27,9,70
3,RF,4,98,63,52,10,44,39,45,37,100
4,RF,5,59,18,16,14,38,14,49,4,77
5,XGB,1,37,1,30,38,13,29,12,0,117
6,XGB,2,30,6,20,27,1,29,9,2,80
7,XGB,3,40,22,73,20,8,26,27,7,72
8,XGB,4,103,50,60,15,37,41,45,28,109
9,XGB,5,73,3,17,32,21,13,50,3,77
10,DT,1,26,0,42,47,0,33,8,0,121
11,DT,2,15,0,41,11,0,46,2,0,89
12,DT,3,62,0,73,31,0,23,29,0,77
13,DT,4,112,7,94,38,4,51,46,0,136
14,DT,5,21,43,29,4,39,23,18,7,105
