,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.6245,0.5291,0.7812,0.4,0.6084,0.7706,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 6, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.7377,0.7073,0.5524,0.9831,0.7348,0.8834,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 155, 'clf__max_depth': 4, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.7208,0.6195,0.4861,0.8537,0.6995,0.8826,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 351, 'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
3,RF,4,4,0.7798,0.7798,0.7248,0.8438,0.7798,0.8584,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 108, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
4,RF,5,5,0.6532,0.6471,0.7857,0.55,0.6531,0.7974,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 379, 'clf__max_depth': 9, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
5,RF,6,6,0.8283,0.7687,0.6645,0.9115,0.816,0.8717,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 323, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
6,RF,7,7,0.837,0.8311,0.7845,0.8835,0.8368,0.8905,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 396, 'clf__max_depth': 5, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
7,RF,8,8,0.6449,0.7246,0.6024,0.9091,0.6123,0.7378,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 444, 'clf__max_depth': 6, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
8,RF,9,9,0.841,0.8664,0.8553,0.8777,0.8351,0.904,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 475, 'clf__max_depth': 6, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
9,RF,10,10,0.7833,0.7977,0.7977,0.7977,0.7822,0.8397,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 180, 'clf__max_depth': 4, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
10,RF,11,11,0.4946,0.1655,0.1855,0.1494,0.4015,0.4125,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 259, 'clf__max_depth': 7, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
11,RF,12,12,0.3975,0.367,0.318,0.434,0.3961,0.3606,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 430, 'clf__max_depth': 5, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
12,RF,13,13,0.6506,0.5797,0.566,0.5941,0.6404,0.6803,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 415, 'clf__max_depth': 7, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
13,RF,14,14,0.6206,0.6118,0.7099,0.5376,0.6204,0.7074,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 384, 'clf__max_depth': 5, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
14,RF,15,15,0.7533,0.8263,1.0,0.704,0.7005,0.9056,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 338, 'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
