,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.681,0.5843,0.963,0.4194,0.6628,0.7996,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 427, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.7528,0.725,0.58,0.9667,0.7503,0.926,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 359, 'clf__max_depth': 5, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.8026,0.6591,0.617,0.7073,0.7601,0.8811,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 300, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
3,RF,4,4,0.8309,0.8369,0.7763,0.9077,0.8307,0.8849,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 343, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
4,RF,5,5,0.5595,0.4932,0.75,0.3673,0.5518,0.8292,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 495, 'clf__max_depth': 4, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
5,RF,6,6,0.8483,0.7874,0.7042,0.8929,0.8347,0.875,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 376, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
6,RF,7,7,0.8739,0.8654,0.8654,0.8654,0.8734,0.8928,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 324, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
7,RF,8,8,0.6667,0.6789,0.6852,0.6727,0.6662,0.7771,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 169, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
8,RF,9,9,0.8756,0.8983,0.8689,0.9298,0.8692,0.9122,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 402, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
9,RF,10,10,0.6667,0.6187,0.8113,0.5,0.6613,0.7788,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 411, 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
10,RF,11,11,0.4758,0.2222,0.2237,0.2208,0.4134,0.469,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 389, 'clf__max_depth': 4, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
11,RF,12,12,0.3026,0.32,0.2667,0.4,0.3021,0.3197,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 229, 'clf__max_depth': 4, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
12,RF,13,13,0.6557,0.5,0.6176,0.42,0.6188,0.7303,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 173, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
13,RF,14,14,0.6601,0.6176,0.84,0.4884,0.6559,0.7912,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 373, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
14,RF,15,15,0.7808,0.8519,1.0,0.7419,0.7154,0.8754,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 179, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
15,RF,16,16,0.8211,0.8759,0.8451,0.9091,0.7776,0.8386,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 76, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
16,RF,17,17,0.6701,0.7193,0.6308,0.8367,0.6596,0.5344,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 383, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
17,RF,18,18,0.8421,0.7273,0.5714,1.0,0.8081,0.934,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 271, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
