,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.75,0.72,0.9474,0.5806,0.7471,0.7923,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 194, 'clf__max_depth': 4, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
1,RF,2,2,0.6905,0.6977,0.5357,1.0,0.6903,0.9185,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 221, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
2,RF,3,3,0.7703,0.6222,0.5833,0.6667,0.7286,0.8823,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 89, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
3,RF,4,4,0.8788,0.8889,0.8,1.0,0.8778,0.9108,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 354, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
4,RF,5,5,0.55,0.5,0.8182,0.36,0.5455,0.8613,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 385, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
5,RF,6,6,0.908,0.8571,0.8571,0.8571,0.8947,0.9467,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 424, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
6,RF,7,7,0.8868,0.88,0.9167,0.8462,0.8864,0.933,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 440, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
7,RF,8,8,0.66,0.7119,0.6562,0.7778,0.6486,0.7262,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
8,RF,9,9,0.8723,0.9048,0.8261,1.0,0.8556,0.9407,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 428, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
9,RF,10,10,0.8312,0.8571,0.8125,0.907,0.8254,0.8666,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 445, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
