,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.7778,0.7143,1.0,0.5556,0.7662,0.8395,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.7143,0.6667,0.5,1.0,0.7083,0.925,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.6522,0.5,0.4,0.6667,0.6167,0.8529,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 394, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
3,RF,4,4,0.9048,0.9,0.9,0.9,0.9045,0.9273,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
4,RF,5,5,0.6923,0.6,1.0,0.4286,0.675,0.9048,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 300, 'clf__max_depth': 3, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
5,RF,6,6,0.8929,0.8235,0.875,0.7778,0.8733,0.9591,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 391, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
6,RF,7,7,0.8235,0.8,0.8571,0.75,0.8211,0.9306,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
7,RF,8,8,0.6875,0.7619,0.6154,1.0,0.6537,0.8281,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 343, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
8,RF,9,9,0.9333,0.9474,0.9,1.0,0.9282,0.9861,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 233, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.88,0.8889,0.8571,0.9231,0.8792,0.8846,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
10,RF,11,11,0.3333,0.3684,0.2692,0.5833,0.3313,0.2917,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 459, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
11,RF,12,12,0.3333,0.4118,0.3333,0.5385,0.3213,0.2353,10,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 354, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
12,RF,13,13,0.7895,0.75,0.75,0.75,0.7841,0.7727,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 89, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
13,RF,14,14,0.7083,0.6957,0.8889,0.5714,0.7078,0.8071,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
14,RF,15,15,0.7273,0.8235,1.0,0.7,0.6118,0.8,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 159, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
15,RF,16,16,0.9286,0.9524,1.0,0.9091,0.9048,1.0,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 187, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
16,RF,17,17,0.6667,0.7059,0.6667,0.75,0.6606,0.5357,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 455, 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
17,RF,18,18,0.8889,0.7778,0.6364,1.0,0.8519,0.9557,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 316, 'clf__max_depth': 5, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
18,RF,19,19,0.6923,0.6,0.4286,1.0,0.675,0.9333,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 477, 'clf__max_depth': 5, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
19,RF,20,20,0.5833,0.4444,0.6667,0.3333,0.5556,0.75,10,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 453, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
20,RF,21,21,0.7857,0.8,0.6667,1.0,0.7846,0.9792,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 444, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
21,RF,22,22,0.7097,0.5714,0.4,1.0,0.676,0.9067,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 232, 'clf__max_depth': 3, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
22,RF,23,23,0.9444,0.963,0.9286,1.0,0.9259,1.0,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 358, 'clf__max_depth': 17, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
23,RF,24,24,0.7273,0.6667,0.6,0.75,0.7179,0.9107,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 396, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
24,RF,25,25,0.6774,0.4444,1.0,0.2857,0.6086,0.9706,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 396, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
