,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.7742,0.7407,0.9091,0.625,0.7704,0.8125,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 296, 'clf__max_depth': 10, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
1,RF,2,2,0.7917,0.7619,0.6154,1.0,0.7884,0.9375,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 379, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.775,0.6087,0.5833,0.6364,0.7254,0.8903,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
3,RF,4,4,0.8611,0.8649,0.8,0.9412,0.861,0.9102,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 406, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
4,RF,5,5,0.7727,0.8,0.8333,0.7692,0.7684,0.8205,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 108, 'clf__max_depth': 3, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 3, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
5,RF,6,6,0.766,0.5217,0.75,0.4,0.6834,0.9333,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 419, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
6,RF,7,7,0.7931,0.7692,0.7692,0.7692,0.7909,0.8558,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 349, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
7,RF,8,8,0.6071,0.6857,0.5714,0.8571,0.581,0.7755,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 351, 'clf__max_depth': 5, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
8,RF,9,9,0.8627,0.8852,0.871,0.9,0.8573,0.927,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 55, 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.8571,0.875,0.84,0.913,0.8542,0.9039,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 487, 'clf__max_depth': 4, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
10,RF,11,11,0.5667,0.4091,0.375,0.45,0.5335,0.575,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 384, 'clf__max_depth': 5, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
11,RF,12,12,0.3462,0.3462,0.2903,0.4286,0.3462,0.321,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
12,RF,13,13,0.75,0.6923,0.6923,0.6923,0.7409,0.7611,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 362, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
13,RF,14,14,0.6585,0.6111,0.8462,0.4783,0.6534,0.7729,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 191, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
14,RF,15,15,0.7895,0.8571,1.0,0.75,0.7286,0.8958,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 347, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
15,RF,16,16,0.84,0.8889,0.8421,0.9412,0.8016,0.7794,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 291, 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
