,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.5556,0.3333,1.0,0.2,0.5,0.95,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.7143,0.6667,0.5,1.0,0.7083,0.9,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.6667,0.5,0.4,0.6667,0.625,0.8519,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 466, 'clf__max_depth': 6, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
3,RF,4,4,0.9091,0.9091,0.8333,1.0,0.9091,0.9333,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 118, 'clf__max_depth': 13, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
4,RF,5,5,0.8571,0.8571,1.0,0.75,0.8571,0.9167,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 331, 'clf__max_depth': 16, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
5,RF,6,6,0.9286,0.8889,0.8,1.0,0.9181,0.9,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 428, 'clf__max_depth': 8, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
6,RF,7,7,0.8889,0.8571,1.0,0.75,0.8831,1.0,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 385, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
7,RF,8,8,0.625,0.6667,0.6,0.75,0.619,0.8125,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 440, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
8,RF,9,9,0.8,0.8421,0.8,0.8889,0.7847,0.8704,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 339, 'clf__max_depth': 8, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
9,RF,10,10,0.8462,0.8571,0.8571,0.8571,0.8452,0.9048,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 50, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
10,RF,11,11,0.2778,0.2353,0.1818,0.3333,0.2755,0.2222,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 197, 'clf__max_depth': 20, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
11,RF,12,12,0.1333,0.0,0.0,0.0,0.1176,0.1481,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 409, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
12,RF,13,13,0.8,0.75,0.75,0.75,0.7917,0.7083,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 211, 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
13,RF,14,14,0.4167,0.0,0.0,0.0,0.2941,0.6571,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 254, 'clf__max_depth': 13, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
14,RF,15,15,0.8333,0.8889,1.0,0.8,0.7778,0.8,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 248, 'clf__max_depth': 6, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
15,RF,16,16,0.8571,0.9091,1.0,0.8333,0.7879,1.0,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 159, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
