,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.75,0.6667,1.0,0.5,0.7333,0.7656,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 4, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.75,0.7273,0.5714,1.0,0.7483,0.9688,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.8,0.6667,0.6667,0.6667,0.7619,0.9286,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
3,RF,4,4,0.8333,0.8235,0.7778,0.875,0.8328,0.925,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 373, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
4,RF,5,5,0.6364,0.5,1.0,0.3333,0.6071,0.8667,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 472, 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
5,RF,6,6,0.9167,0.8571,1.0,0.75,0.8992,0.9844,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
6,RF,7,7,0.8,0.7692,0.8333,0.7143,0.7964,0.875,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 374, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
7,RF,8,8,0.8571,0.875,0.7778,1.0,0.8542,0.8776,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 337, 'clf__max_depth': 4, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
8,RF,9,9,0.8846,0.9032,0.875,0.9333,0.8802,0.8788,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 198, 'clf__max_depth': 5, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.7143,0.7273,0.8,0.6667,0.7136,0.8056,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 188, 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
10,RF,11,11,0.5333,0.5625,0.4091,0.9,0.5312,0.56,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
11,RF,12,12,0.2692,0.24,0.2143,0.2727,0.2681,0.3152,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 272, 'clf__max_depth': 4, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
12,RF,13,13,0.6875,0.6154,0.6667,0.5714,0.6761,0.6984,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 298, 'clf__max_depth': 4, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
13,RF,14,14,0.6667,0.6316,0.8571,0.5,0.6636,0.8611,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 412, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
14,RF,15,15,0.8,0.8571,1.0,0.75,0.7619,0.9375,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 385, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
15,RF,16,16,0.7692,0.8421,0.8,0.8889,0.7068,0.8056,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 477, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
16,RF,17,17,0.6923,0.75,0.6667,0.8571,0.675,0.4762,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 272, 'clf__max_depth': 5, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
17,RF,18,18,0.9,0.8235,0.7,1.0,0.8769,0.9627,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
18,RF,19,19,0.7273,0.6667,0.5,1.0,0.7179,0.875,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 197, 'clf__max_depth': 5, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
19,RF,20,20,0.5455,0.2857,0.5,0.2,0.4762,0.5667,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 479, 'clf__max_depth': 18, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
20,RF,21,21,0.6667,0.6667,0.5,1.0,0.6667,0.9375,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
21,RF,22,22,0.7037,0.5556,0.3846,1.0,0.6667,0.8818,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 297, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
22,RF,23,23,0.9375,0.9565,1.0,0.9167,0.9227,0.9792,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
23,RF,24,24,0.7368,0.6667,0.625,0.7143,0.7246,0.8571,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 158, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
24,RF,25,25,0.7407,0.5882,1.0,0.4167,0.6995,0.9722,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
25,RF,26,26,0.8636,0.7273,0.5714,1.0,0.8182,0.9028,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 143, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
26,RF,27,27,0.7955,0.6667,0.5,1.0,0.7596,0.9111,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 314, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
27,RF,28,28,0.8667,0.8889,0.8,1.0,0.8611,0.875,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 383, 'clf__max_depth': 5, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
28,RF,29,29,0.8333,0.8333,1.0,0.7143,0.8333,0.8571,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 287, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
29,RF,30,30,0.5625,0.6316,1.0,0.4615,0.5466,0.9744,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 93, 'clf__max_depth': 4, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
30,RF,31,31,0.7059,0.5455,0.4286,0.75,0.664,0.8269,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
31,RF,32,32,0.7778,0.75,0.6,1.0,0.775,0.8333,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
32,RF,33,33,0.3333,0.0,0.0,0.0,0.25,0.3393,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
