,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.75,0.6667,1.0,0.5,0.7333,0.8333,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.8889,0.8571,0.75,1.0,0.8831,1.0,10,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 341, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.7333,0.6,0.5,0.75,0.7,0.8864,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 409, 'clf__max_depth': 14, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
3,RF,4,4,0.7857,0.7692,0.8333,0.7143,0.7846,0.8776,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 450, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
4,RF,5,5,0.5,0.5,0.6667,0.4,0.5,0.7333,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 435, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
5,RF,6,6,0.7778,0.6,0.75,0.5,0.7231,0.9028,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 414, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
6,RF,7,7,0.9091,0.8889,1.0,0.8,0.906,0.9667,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 347, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
7,RF,8,8,0.7,0.7273,0.6667,0.8,0.697,0.72,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
8,RF,9,9,0.7368,0.7619,0.8,0.7273,0.7339,0.875,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 159, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.8125,0.7692,1.0,0.625,0.8057,0.9062,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 93, 'clf__max_depth': 20, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
10,RF,11,11,0.3913,0.125,0.1111,0.1429,0.3292,0.3929,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 358, 'clf__max_depth': 19, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
11,RF,12,12,0.2632,0.2222,0.2,0.25,0.2611,0.2955,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
12,RF,13,13,0.5833,0.4444,0.5,0.4,0.5556,0.6571,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
13,RF,14,14,0.6,0.4,1.0,0.25,0.55,0.875,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 228, 'clf__max_depth': 12, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
14,RF,15,15,0.4286,0.6,1.0,0.4286,0.3,0.0,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 396, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
15,RF,16,16,0.8889,0.9231,0.8571,1.0,0.8615,0.6667,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
16,RF,17,17,0.6,0.6,0.5,0.75,0.6,0.6667,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
17,RF,18,18,0.8696,0.7692,0.625,1.0,0.8392,0.9556,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 409, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
18,RF,19,19,0.625,0.5714,0.4,1.0,0.619,1.0,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 392, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
19,RF,20,20,0.5,0.3333,0.5,0.25,0.4667,0.5625,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 424, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
20,RF,21,21,0.7778,0.75,0.6,1.0,0.775,0.9444,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
21,RF,22,22,0.65,0.4615,0.3,1.0,0.6011,0.9804,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
22,RF,23,23,0.9167,0.9412,0.8889,1.0,0.8992,1.0,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
23,RF,24,24,0.5714,0.5,0.4286,0.6,0.5625,0.6889,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 302, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
24,RF,25,25,0.7,0.5,1.0,0.3333,0.6429,0.9697,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 460, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
25,RF,26,26,0.75,0.3333,0.3333,0.3333,0.5897,0.8974,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 300, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
26,RF,27,27,0.6667,0.56,0.3889,1.0,0.6459,0.9451,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 480, 'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
27,RF,28,28,0.9091,0.9231,0.8571,1.0,0.906,0.9,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 398, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
28,RF,29,29,0.6667,0.6667,0.75,0.6,0.6667,0.75,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 380, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
29,RF,30,30,0.6667,0.7143,1.0,0.5556,0.6571,0.963,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
30,RF,31,31,0.8333,0.75,0.75,0.75,0.8125,0.75,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 347, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
31,RF,32,32,0.7143,0.6667,0.5,1.0,0.7083,0.8,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
32,RF,33,33,0.3636,0.0,0.0,0.0,0.2667,0.3571,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 413, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
33,RF,34,34,0.8889,0.8,0.6667,1.0,0.8615,1.0,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
34,RF,35,35,0.1333,0.0,0.0,0.0,0.1176,0.5385,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 378, 'clf__max_depth': 13, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
35,RF,36,36,0.6429,0.7059,0.5455,1.0,0.6257,0.875,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
36,RF,37,37,0.6875,0.7619,0.6154,1.0,0.6537,0.8438,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
37,RF,38,38,0.9,0.9231,0.8571,1.0,0.8901,0.9583,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 373, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
38,RF,39,39,0.7778,0.8333,0.8333,0.8333,0.75,0.7778,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
39,RF,40,40,0.875,0.625,0.5,0.8333,0.775,0.9444,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 102, 'clf__max_depth': 3, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
40,RF,41,41,0.8,0.8333,0.8333,0.8333,0.7917,0.8333,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
41,XGB,1,1,0.75,0.6667,1.0,0.5,0.7333,0.7778,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 85, 'clf__max_depth': 3, 'clf__learning_rate': 0.09707761688175594, 'clf__subsample': 0.6301410525479902, 'clf__colsample_bytree': 0.6465923158612856, 'clf__min_child_weight': 3, 'clf__gamma': 2.918724315953635, 'clf__reg_alpha': 1.8719241712038293, 'clf__reg_lambda': 1.6609832650178238}"
42,XGB,2,2,0.8889,0.8571,0.75,1.0,0.8831,1.0,10,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 354, 'clf__max_depth': 10, 'clf__learning_rate': 0.026771773184453812, 'clf__subsample': 0.9107839729296247, 'clf__colsample_bytree': 0.6812619103509003, 'clf__min_child_weight': 5, 'clf__gamma': 3.716154513313224, 'clf__reg_alpha': 0.7817210862119308, 'clf__reg_lambda': 0.1707170434667142}"
43,XGB,3,3,0.7333,0.6,0.5,0.75,0.7,0.8636,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 293, 'clf__max_depth': 4, 'clf__learning_rate': 0.048059927911678305, 'clf__subsample': 0.8268755053641438, 'clf__colsample_bytree': 0.7125989621236613, 'clf__min_child_weight': 3, 'clf__gamma': 4.779856142468273, 'clf__reg_alpha': 1.7647146990821787, 'clf__reg_lambda': 1.6636419454458893}"
44,XGB,4,4,0.7143,0.7143,0.7143,0.7143,0.7143,0.8367,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 314, 'clf__max_depth': 7, 'clf__learning_rate': 0.019049084059616764, 'clf__subsample': 0.93053462654518, 'clf__colsample_bytree': 0.6562834471363687, 'clf__min_child_weight': 2, 'clf__gamma': 4.8924560253722325, 'clf__reg_alpha': 0.13658275040299034, 'clf__reg_lambda': 1.1868449671425174}"
45,XGB,5,5,0.5,0.3333,1.0,0.2,0.4667,0.7333,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 210, 'clf__max_depth': 5, 'clf__learning_rate': 0.06333268775321842, 'clf__subsample': 0.6563696899899051, 'clf__colsample_bytree': 0.9208787923016158, 'clf__min_child_weight': 1, 'clf__gamma': 4.9344346830025865, 'clf__reg_alpha': 1.5444895385933148, 'clf__reg_lambda': 0.3974313630683448}"
46,XGB,6,6,0.8333,0.6667,1.0,0.5,0.7778,0.9583,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 186, 'clf__max_depth': 11, 'clf__learning_rate': 0.025438710974722206, 'clf__subsample': 0.8735344388362768, 'clf__colsample_bytree': 0.6423048833601356, 'clf__min_child_weight': 5, 'clf__gamma': 4.66258073279163, 'clf__reg_alpha': 1.826735756889434, 'clf__reg_lambda': 0.3672068138502627}"
47,XGB,7,7,0.9091,0.8889,1.0,0.8,0.906,0.9667,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 154, 'clf__max_depth': 3, 'clf__learning_rate': 0.06372152059812859, 'clf__subsample': 0.7165066424724053, 'clf__colsample_bytree': 0.7438852551596585, 'clf__min_child_weight': 10, 'clf__gamma': 4.76584192781103, 'clf__reg_alpha': 1.9913584235308528, 'clf__reg_lambda': 0.7083800632469288}"
48,XGB,8,8,0.6,0.6667,0.5714,0.8,0.5833,0.68,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 232, 'clf__max_depth': 9, 'clf__learning_rate': 0.040906737108820326, 'clf__subsample': 0.6793643983036883, 'clf__colsample_bytree': 0.910745681746531, 'clf__min_child_weight': 7, 'clf__gamma': 4.322720171024576, 'clf__reg_alpha': 1.7540142799570981, 'clf__reg_lambda': 0.3794974942032677}"
49,XGB,9,9,0.7895,0.8182,0.8182,0.8182,0.7841,0.875,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 101, 'clf__max_depth': 7, 'clf__learning_rate': 0.04074364948063381, 'clf__subsample': 0.6405848507029351, 'clf__colsample_bytree': 0.6425964075633975, 'clf__min_child_weight': 3, 'clf__gamma': 4.602346947496657, 'clf__reg_alpha': 1.195241542976036, 'clf__reg_lambda': 0.41473849703439436}"
50,XGB,10,10,0.625,0.5,0.75,0.375,0.6,0.8125,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 318, 'clf__max_depth': 7, 'clf__learning_rate': 0.02707239787096689, 'clf__subsample': 0.6888976833885815, 'clf__colsample_bytree': 0.9595320068661831, 'clf__min_child_weight': 2, 'clf__gamma': 4.158550156392175, 'clf__reg_alpha': 1.5995568104540712, 'clf__reg_lambda': 0.760714707946047}"
51,XGB,11,11,0.6522,0.3333,0.4,0.2857,0.549,0.7679,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 341, 'clf__max_depth': 12, 'clf__learning_rate': 0.15052371867855716, 'clf__subsample': 0.999286607130267, 'clf__colsample_bytree': 0.6664607084923506, 'clf__min_child_weight': 3, 'clf__gamma': 4.587371691680025, 'clf__reg_alpha': 0.48882874412134136, 'clf__reg_lambda': 1.7437827454572579}"
52,XGB,12,12,0.3158,0.2353,0.2222,0.25,0.3081,0.2955,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 105, 'clf__max_depth': 6, 'clf__learning_rate': 0.02143186421749952, 'clf__subsample': 0.8634579538055986, 'clf__colsample_bytree': 0.670646536411083, 'clf__min_child_weight': 6, 'clf__gamma': 4.36820128685372, 'clf__reg_alpha': 0.36056233882641964, 'clf__reg_lambda': 0.7635220957160233}"
53,XGB,13,13,0.75,0.5714,1.0,0.4,0.6975,0.6857,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 210, 'clf__max_depth': 5, 'clf__learning_rate': 0.06333268775321842, 'clf__subsample': 0.6563696899899051, 'clf__colsample_bytree': 0.9208787923016158, 'clf__min_child_weight': 1, 'clf__gamma': 4.9344346830025865, 'clf__reg_alpha': 1.5444895385933148, 'clf__reg_lambda': 0.3974313630683448}"
