,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.6526,0.5075,0.9444,0.3469,0.6196,0.8061,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 245, 'clf__max_depth': 4, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
1,RF,2,2,0.7568,0.7188,0.561,1.0,0.7522,0.902,all,"{'selector__k': 'all', 'selector__score_func': 'f_classif', 'clf__n_estimators': 416, 'clf__max_depth': 8, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
2,RF,3,3,0.7073,0.6,0.4655,0.8438,0.6846,0.8736,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 344, 'clf__max_depth': 4, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
3,RF,4,4,0.7658,0.7679,0.7049,0.8431,0.7657,0.8275,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 408, 'clf__max_depth': 15, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
4,RF,5,5,0.5714,0.4643,0.7647,0.3333,0.5536,0.8065,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 334, 'clf__max_depth': 4, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
5,RF,6,6,0.8207,0.7451,0.6667,0.8444,0.8034,0.8727,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 112, 'clf__max_depth': 3, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
6,RF,7,7,0.8462,0.8293,0.8293,0.8293,0.8446,0.8917,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 249, 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
7,RF,8,8,0.6512,0.6512,0.6512,0.6512,0.6512,0.7469,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 155, 'clf__max_depth': 4, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
8,RF,9,9,0.8205,0.8462,0.8462,0.8462,0.8154,0.8926,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 474, 'clf__max_depth': 4, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.7,0.6549,0.8409,0.5362,0.6948,0.8299,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 363, 'clf__max_depth': 4, 'clf__min_samples_split': 3, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
