,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.7917,0.7619,0.8889,0.6667,0.7884,0.8125,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 413, 'clf__max_depth': 4, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
1,RF,2,2,0.7222,0.7059,0.5455,1.0,0.7214,0.9444,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 172, 'clf__max_depth': 4, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.7419,0.5556,0.5,0.625,0.6869,0.8696,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
3,RF,4,4,0.7857,0.8,0.7059,0.9231,0.7846,0.9128,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 427, 'clf__max_depth': 20, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
4,RF,5,5,0.5882,0.5333,0.6667,0.4444,0.5825,0.8472,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 316, 'clf__max_depth': 15, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': None}"
5,RF,6,6,0.75,0.5263,0.625,0.4545,0.6783,0.8545,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 213, 'clf__max_depth': 5, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
6,RF,7,7,0.8696,0.8571,0.8182,0.9,0.8686,0.8846,91,"{'selector__k': 91, 'selector__score_func': 'f_classif', 'clf__n_estimators': 202, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
7,RF,8,8,0.6667,0.72,0.6429,0.8182,0.6541,0.6909,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 149, 'clf__max_depth': 15, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
8,RF,9,9,0.7436,0.7727,0.7727,0.7727,0.7393,0.885,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 159, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.7188,0.7097,0.7857,0.6471,0.7185,0.898,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 180, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
10,RF,11,11,0.4783,0.2,0.2143,0.1875,0.4065,0.5229,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 398, 'clf__max_depth': 4, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
11,RF,12,12,0.2821,0.2222,0.2,0.25,0.2778,0.2527,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 253, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
12,RF,13,13,0.64,0.4706,0.5714,0.4,0.5989,0.7067,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
13,RF,14,14,0.5161,0.2857,1.0,0.1667,0.4599,0.7607,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 143, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
14,RF,15,15,0.8,0.8571,1.0,0.75,0.7619,0.8333,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 114, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
