,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.75,0.7246,0.9259,0.5952,0.7479,0.8025,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 353, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.7069,0.7018,0.5405,1.0,0.7068,0.9434,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 101, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
2,RF,3,3,0.75,0.5902,0.5294,0.6667,0.7052,0.8803,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 391, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
3,RF,4,4,0.8427,0.8511,0.7692,0.9524,0.8422,0.9037,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 235, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
4,RF,5,5,0.5818,0.566,0.7895,0.4412,0.5813,0.8417,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 291, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
5,RF,6,6,0.8889,0.8395,0.7907,0.8947,0.8773,0.9257,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 256, 'clf__max_depth': 4, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
6,RF,7,7,0.8767,0.8657,0.8788,0.8529,0.8759,0.9072,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 399, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
7,RF,8,8,0.6618,0.7229,0.6522,0.8108,0.6445,0.7602,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 400, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
8,RF,9,9,0.9055,0.925,0.881,0.9737,0.8987,0.9358,71,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__n_estimators': 353, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
9,RF,10,10,0.7619,0.7619,0.8333,0.7018,0.7619,0.8973,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
