,Model,Fold,Test_Experiment,Accuracy,F1_Positive,Precision_Positive,Recall_Positive,F1_Macro,AUC,Features_K,Best_Params
0,RF,1,1,0.5682,0.3871,1.0,0.24,0.5269,0.8168,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 157, 'clf__max_depth': 4, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
1,RF,2,2,0.7576,0.75,0.6,1.0,0.7574,0.9603,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 159, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
2,RF,3,3,0.7586,0.5625,0.5625,0.5625,0.6979,0.8408,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 300, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
3,RF,4,4,0.8654,0.8772,0.7812,1.0,0.8641,0.9526,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 161, 'clf__max_depth': 7, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
4,RF,5,5,0.6774,0.6667,1.0,0.5,0.6771,0.9182,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 463, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
5,RF,6,6,0.8261,0.6842,0.8667,0.5652,0.7821,0.9584,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 435, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
6,RF,7,7,0.8571,0.8421,0.9412,0.7619,0.8558,0.932,10,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 411, 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
7,RF,8,8,0.6923,0.75,0.6923,0.8182,0.675,0.7674,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 437, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
8,RF,9,9,0.9054,0.9293,0.8679,1.0,0.8932,0.9394,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
9,RF,10,10,0.9016,0.9211,0.8537,1.0,0.8953,0.8989,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 496, 'clf__max_depth': 4, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
10,RF,11,11,0.4773,0.4524,0.3519,0.6333,0.4762,0.4925,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 375, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
11,RF,12,12,0.3067,0.2973,0.2619,0.3438,0.3065,0.234,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}"
12,RF,13,13,0.7391,0.7143,0.6818,0.75,0.7371,0.7019,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 410, 'clf__max_depth': 3, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
13,RF,14,14,0.6102,0.549,0.8235,0.4118,0.6029,0.7435,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 394, 'clf__max_depth': 7, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
14,RF,15,15,0.6923,0.8095,1.0,0.68,0.5048,0.8,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 371, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
15,RF,16,16,0.8286,0.8846,0.92,0.8519,0.7756,0.9213,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 159, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
16,RF,17,17,0.6389,0.6977,0.6522,0.75,0.6247,0.4781,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 455, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
17,RF,18,18,0.8977,0.8085,0.6786,1.0,0.8694,0.9314,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
18,RF,19,19,0.6452,0.56,0.4118,0.875,0.6314,0.913,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 173, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
19,RF,20,20,0.6,0.5,0.6667,0.4,0.5833,0.7333,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 496, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
20,RF,21,21,0.697,0.7222,0.5652,1.0,0.6944,0.9038,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 359, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
21,RF,22,22,0.6883,0.5556,0.3846,1.0,0.6578,0.8559,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 391, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
22,RF,23,23,0.9111,0.9429,0.9167,0.9706,0.8714,0.9813,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 341, 'clf__max_depth': 4, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
23,RF,24,24,0.8545,0.8095,0.7391,0.8947,0.8459,0.8991,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 114, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
24,RF,25,25,0.7273,0.5882,1.0,0.4167,0.6922,0.9072,10,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 410, 'clf__max_depth': 5, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
25,RF,26,26,0.8871,0.7407,0.6667,0.8333,0.8343,0.94,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 296, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
26,RF,27,27,0.7538,0.6364,0.4667,1.0,0.7252,0.9408,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 328, 'clf__max_depth': 4, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
27,RF,28,28,0.9512,0.963,0.9286,1.0,0.9458,0.9179,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 369, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
28,RF,29,29,0.625,0.6842,0.7647,0.619,0.6113,0.7359,20,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__n_estimators': 347, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
29,RF,30,30,0.4667,0.52,1.0,0.3514,0.46,0.8716,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
30,RF,31,31,0.7872,0.6667,0.625,0.7143,0.7552,0.803,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 423, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
31,RF,32,32,0.76,0.7,0.5833,0.875,0.75,0.8235,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 453, 'clf__max_depth': 7, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
32,RF,33,33,0.2093,0.0556,0.0588,0.0526,0.1878,0.2654,51,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 195, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 9, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}"
33,RF,34,34,0.9118,0.7692,0.7143,0.8333,0.8573,0.9524,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 273, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
34,RF,35,35,0.2373,0.1176,1.0,0.0625,0.223,0.3542,81,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}"
35,RF,36,36,0.7037,0.7647,0.619,1.0,0.6824,0.9712,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 229, 'clf__max_depth': 4, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
36,RF,37,37,0.629,0.716,0.5686,0.9667,0.5906,0.8068,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 135, 'clf__max_depth': 4, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
37,RF,38,38,0.9737,0.9811,0.963,1.0,0.9688,0.9744,40,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 342, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}"
38,RF,39,39,0.8788,0.9231,0.8889,0.96,0.8187,0.86,30,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 74, 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}"
